Food,Calories,Utility,Carbohydrate,Fat,Protein,Category,Links,Embedded Links
Chole Kulcha,469.5,40,3,28.5,48,Veg,https://www.youtube.com/watch?v=MXZJbPurJ9A&pp=ygUUY2hvbGUga3VsY2hlIHJlY2lwZSA%3D,"<iframe  src=""https://www.youtube.com/embed/MXZJbPurJ9A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
dal makhani and jeera rice,502.5,40,53.4,20.4,10.95,Veg,https://www.youtube.com/watch?v=9toRO2nrmKc&pp=ygUWZGFsIG1ha2hhbmkgamVlcmEgcmljZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/9toRO2nrmKc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Fish and Chips,1387.5,90,48,88.5,12,Non-Veg,https://www.youtube.com/watch?v=HrNLvCO2tE4&pp=ygUVZmlzaCBhbmQgY2hpcHMgcmVjaXBl,"<iframe  src=""https://www.youtube.com/embed/HrNLvCO2tE4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
French Toast with Butter,396,100,63,70.5,16.5,Veg,https://www.youtube.com/shorts/7O0pKKlw2fA,"<iframe  src=""https://www.youtube.com/embed/r1ZLSbQ0r0I"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Fried Carrot Cake,877.5,20,66,70.5,13.5,Veg,https://www.youtube.com/watch?v=kmd-SGagV9M&pp=ygURZnJpZWQgY2Fycm90IGNha2U%3D,"<iframe  src=""https://www.youtube.com/embed/kmd-SGagV9M"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Fried Hokkien Noodles,925.5,80,63,66,21,Non-Veg,https://www.youtube.com/watch?v=zhXF4Cgua1I&pp=ygUVZnJpZWQgaG9va2llbiBub29kZWxz,"<iframe  src=""https://www.youtube.com/embed/zhXF4Cgua1I"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Grilled veggie sandwhich(2 bread and 100g veggies),592.5,50,70.5,27,16.5,Veg,https://www.youtube.com/watch?v=1fe-2YDpFyw&pp=ygUUZ3JpbGxlZCB2ZWcgc2FuZHdpY2g%3D,"<iframe  src=""https://www.youtube.com/embed/1fe-2YDpFyw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Ham Sandwich,547.5,40,60,40.5,49.5,Non-Veg,https://www.youtube.com/watch?v=JsZoKrxJbjs&pp=ygUTaGFtIHNhbmR3aWNoIHJlY2lwZQ%3D%3D,"<iframe src=""https://www.youtube.com/embed/JsZoKrxJbjs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
idli (1pc)+ sambhar(1 bowl),513,20,102.15,15.3,21,Veg,https://www.youtube.com/watch?v=_QLLo1b5Zcw&pp=ygUUaWRsaSBzYW1iaGFyIHJlY2VwaWU%3D,"<iframe  src=""https://www.youtube.com/embed/_QLLo1b5Zcw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
jalebi (1pc) +fafda(50gms),438,20,76.5,5.55,17.7,Veg,https://www.youtube.com/watch?v=gNWW_46qJFA&pp=ygUTamFsZWJpIGZhZmRhIHJlY2lwZQ%3D%3D,"<iframe  src=""https://www.youtube.com/embed/gNWW_46qJFA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
